University,Acronym,Established,Location,Division,Specialization,Type,Ph.D. granting,Website
Sylhet Medical University,SMU,2018,Sylhet,Sylhet division,Medical,Public,No,https://www.smu.edu.bd
Sheikh Hasina Medical University,SHMU,2020,Khulna,Khulna division,Medical,Public,No,https://www.shmu.edu.bd
Shahjalal University of Science and Technology,SUST,1986,Sylhet,Sylhet division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.sust.edu
Hajee Mohammad Danesh Science & Technology University,HSTU,1999,Dinajpur,Rangpur division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.hstu.ac.bd
Mawlana Bhashani Science and Technology University,MBSTU,1999,Tangail,Dhaka division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.mbstu.ac.bd
Patuakhali Science and Technology University,PSTU,2000,Patuakhali,Barisal division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.pstu.ac.bd
Noakhali Science and Technology University,NSTU,2006,Noakhali,Chittagong division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.nstu.edu.bd
Jashore University of Science and Technology,JUST,2007,Jessore,Khulna division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.just.edu.bd
Pabna University of Science and Technology,PUST,2008,Pabna,Rajshahi division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.pust.edu.bd
Bangabandhu Sheikh Mujibur Rahman Science and Technology University,BSMRSTU,2011,Gopalganj,Dhaka division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.bsmrstu.edu.bd
Rangamati Science and Technology University,RMSTU,2014,Rangamati,Chittagong division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.rmstu.ac.bd
Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University,BSFMSTU,2017,Jamalpur,Mymensingh division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.bsfmstu.ac.bd
Chandpur Science and Technology University,CSTU,2020,Chandpur,Chittagong division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.cstu.ac.bd
Sunamganj Science and Technology University,SSTU,2020,Sunamganj,Sylhet division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.sstu.ac.bd
Bogura Science and Technology University,BSTU,2020,Bogura,Rajshahi division,"Science , Technology,Engineering and Mathematics ",Public,Yes,https://www.bstu.ac.bd
Lakshmipur Science and Technology University,LSTU,2020,Lakshmipur,Chittagong division,"Science , Technology,Engineering and Mathematics ",Public,Yes,
Bangladesh Agricultural University,BAU,1961,Mymensingh,Mymensingh division,Agricultural Science ,Public,Yes,https://www.bau.edu.bd
Bangabandhu Sheikh Mujibur Rahman Agricultural University,BSMRAU,1998,Gazipur,Dhaka division,Agricultural Science ,Public,Yes,https://www.bsmrau.edu.bd
Sher-E-Bangla Agricultural University,SAU,2001,Dhaka,Dhaka division,Agricultural Science ,Public,Yes,https://www.sau.edu.bd
Sylhet Agricultural University,SylAU,2006,Sylhet,Sylhet division,Agricultural Science ,Public,Yes,https://www.sau.ac.bd
Khulna Agricultural University,KAU,2019,Khulna,Khulna division,Agricultural Science ,Public,Yes,https://www.kau.edu.bd
Habiganj Agricultural University,HAU,2020,Habiganj,Sylhet division,Agricultural Science ,Public,Yes,https://www.hau.ac.bd
Kurigram Agricultural University,KAU,2021,Kurigram,Rangpur division,Agricultural Science ,Public,,https://www.kau.edu.bd
Bangladesh University of Engineering & Technology,BUET,1962,Dhaka,Dhaka division,Engineering,Public,Yes,https://www.buet.ac.bd
Khulna University of Engineering & Technology,KUET,2003,Khulna,Khulna division,Engineering,Public,Yes,https://www.kuet.ac.bd
Chittagong University of Engineering & Technology,CUET,2003,Chittagong,Chittagong division,Engineering,Public,Yes,https://www.cuet.ac.bd
Rajshahi University of Engineering & Technology,RUET,2003,Rajshahi,Rajshahi division,Engineering,Public,Yes,https://www.ruet.ac.bd
Dhaka University of Engineering & Technology,DUET,2003,Gazipur,Dhaka division,Engineering,Public,Yes,https://www.duet.ac.bd
Mymensingh Engineering College.,MEC,2009,Mymensingh,Mymensingh division,Engineering,Public,No,https://www.mec.edu
Sylhet Engineering College.,SEC,2008,Sylhet,Sylhet division,Engineering,Public,No,https://www.sec.ac.bd
Faridpur Engineering College,FEC,2014,Faridpur,Faridpur division,Engineering,Public,No,https://www.fec.edu.bd
Barisal Engineering College.,BEC,2018,Barisal,Barisal division,Engineering,Public,No,https://www.bec.org
Chittagong Veterinary and Animal Sciences University,CVASU,2006,Chittagong,Chittagong division,Veterinary Science,Public,Yes,https://www.cvasu.ac.bd
Bangladesh University of Textiles,BUTEX,2010,Dhaka,Dhaka division,Textile Engineering,Public,Yes,https://www.butex.edu.bd
Bangabandhu Sheikh Mujibur Rahman Maritime University,BSMRMU,2013,Chittagong,Chittagong division,Maritime transport,Public,Yes,https://www.bsmrmu.edu.bd
Bangabandhu Sheikh Mujibur Rahman Digital University,BDU,2018,Kaliakoir,Dhaka division,ICT in education,Public,No,https://www.bdu.gov.bd
Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University,BSMRAAU,2019,Lalmonirhat,Rangpur division,Aeronautical Science,Public,Yes,https://www.bsmraau.ac.bd
Bangladesh Open University,BOU,1992,Gazipur,Gazipur Division,General,Public,Yes,https://www.bou.ac.bd
National University Bangladesh,NU,1992,Gazipur,Gazipur Division,General,Public,Yes,https://www.nu.edu.bd
Islamic Arabic University,IAU,2013,Dhaka,Dhaka division,Islamic,Private,No,https://www.iau.edu.bd
International University of Business Agriculture and Technology,IUBAT,1991,Dhaka,Dhaka Division,General,Private,No,https://www.iubat.edu
North South University,NSU,1992,Dhaka,Dhaka Division,General,Private,No,https://www.northsouth.edu
"Independent University, Bangladesh",IUB,1993,Dhaka,Dhaka Division,General,Private,No,https://www.iub.edu.bd
American International University-Bangladesh,AIUB,1994,Dhaka,Dhaka Division,General,Private,No,https://www.aiub.edu
Dhaka International University,DIU,1995,Dhaka,Dhaka Division,General,Private,No,https://www.daffodilvarsity.edu.bd
"International Islamic University, Chittagong",IIUC,1995,Chittagong,Chittagong Division,General,Private,No,https://www.iiuc.ac.bd
Asian University for Women,AUB,1996,Dhaka,Dhaka Division,General,Private,No,https://www.auw.edu.bd
East West University,EWU,1996,Dhaka,Dhaka Division,General,Private,No,https://www.ewubd.edu
Gono Bishwabidyalay,GB,1996,Dhaka,Dhaka Division,General,Private,No,https://www.gonouniversity.edu.bd
People's University of Bangladesh,PUB,1996,Dhaka,Dhaka Division,General,Private,No,https://www.pub.ac.bd
Queens University,QU,1996,Dhaka,Dhaka Division,General,Private,No,
University of Asia Pacific (Bangladesh),UAP,1996,Dhaka,Dhaka Division,General,Private,No,https://www.uap-bd.edu
Chittagong Independent University (CIU),CIU,1999,Chittagong,Chittagong Division,General,Private,No,https://www.ciu.edu.bd
BGMEA University of Fashion & Technology,BUFT,1999,Dhaka,Dhaka Division,General,Private,No,https://www.buft.edu.bd
Bangladesh University,BU,2001,Dhaka,Dhaka Division,General,Private,No,https://www.bu.ac.bd
BGC Trust University Bangladesh,BGCTUB,2001,Chittagong,Chittagong Division,General,Private,No,https://www.bgctub.ac.bd
BRAC University,BRAC,2001,Dhaka,Dhaka Division,General,Private,No,https://www.bracu.ac.bd
Manarat International University,MIU,2001,Dhaka,Dhaka Division,General,Private,No,https://www.manarat.ac.bd
"Premier University, Chittagong",PU,2001,Chittagong,Chittagong Division,General,Private,No,https://www.puc.ac.bd
"Southern University, Bangladesh",SUB,2001,Chittagong,Chittagong Division,General,Private,No,https://www.sub.ac.bd
Sylhet International University,SIU,2001,Sylhet,Sylhet Division,General,Private,No,https://www.siu.edu.bd
University of Development Alternative,UODA,2002,Dhaka,Dhaka Division,General,Private,No,https://www.uoda.edu.bd
"City University, Bangladesh",CUB,2002,Dhaka,Dhaka Division,General,Private,No,https://www.cityuniversity.ac.bd
Daffodil International University,DIU,2002,Dhaka,Dhaka Division,General,Private,No,https://www.daffodilvarsity.edu.bd
Green University of Bangladesh,GUB,2002,Dhaka,Dhaka Division,General,Private,No,https://www.gub.edu.bd
IBAIS University,IU,2002,Dhaka,Dhaka Division,General,Private,No,https://www.iu.ac.bd
